Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Philippines,<200 ,<200 , <200,,<200 ,<200 , <200,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,500 ,<500 , 550,,620 ,560 , 680,,780 ,690 , 860,,980 ,870 , 1100,,1200 ,1100 , 1400,,1600 ,1400 , 1800,,2000 ,1800 , 2300,,2700 ,2300 , 3000,,3500 ,2900 , 4000,,4500 ,3800 , 5200,,5900 ,4900 , 6800,,7900 ,6600 , 9100,,11 000 ,9200 , 13 000,,15 000 ,12 000 , 17 000,,19 000 ,16 000 , 22 000,,24 000 ,20 000 , 28 000,,30 000 ,25 000 , 35 000,,37 000 ,31 000 , 43 000,,46 000 ,38 000 , 53 000,,55 000 ,46 000 , 64 000,,66 000 ,55 000 , 77 000,,79 000 ,66 000 , 91 000,,93 000 ,77 000 , 110 000,,110 000 ,90 000 , 130 000,,120 000 ,100 000 , 140 000,,140 000 ,120 000 , 170 000,,170 000 ,140 000 , 190 000,,190 000 ,160 000 , 220 000,,220 000 ,180 000 , 250 000,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Portugal,13 000 ,11 000 , 14 000,,15 000 ,13 000 , 17 000,,18 000 ,15 000 , 20 000,,20 000 ,17 000 , 22 000,,22 000 ,19 000 , 24 000,,24 000 ,20 000 , 26 000,,25 000 ,22 000 , 28 000,,27 000 ,23 000 , 29 000,,28 000 ,24 000 , 31 000,,30 000 ,25 000 , 32 000,,31 000 ,26 000 , 33 000,,32 000 ,28 000 , 35 000,,33 000 ,29 000 , 36 000,,34 000 ,30 000 , 37 000,,35 000 ,31 000 , 38 000,,36 000 ,32 000 , 39 000,,37 000 ,33 000 , 40 000,,38 000 ,33 000 , 41 000,,39 000 ,34 000 , 42 000,,39 000 ,35 000 , 42 000,,40 000 ,35 000 , 43 000,,40 000 ,36 000 , 44 000,,41 000 ,36 000 , 44 000,,41 000 ,37 000 , 45 000,,42 000 ,38 000 , 46 000,,43 000 ,38 000 , 46 000,,43 000 ,39 000 , 47 000,,44 000 ,39 000 , 48 000,,45 000 ,40 000 , 49 000,,45 000 ,41 000 , 50 000,,46 000 ,41 000 , 51 000,,47 000 ,42 000 , 52 000,,48 000 ,43 000 , 53 000,,49 000 ,44 000 , 54 000,,50 000 ,44 000 , 55 000,
Qatar,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <500,"Children estimates were not available at the time of publication.",<100 ,<100 , <500,"Children estimates were not available at the time of publication.",<100 ,<100 , <500,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",560 ,<500 , 650,"Children estimates were not available at the time of publication.",680 ,540 , 800,"Children estimates were not available at the time of publication.",810 ,640 , 960,"Children estimates were not available at the time of publication.",960 ,740 , 1100,"Children estimates were not available at the time of publication."
Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Republic of Moldova,<500 ,<500 , <500,,540 ,<500 , 630,,830 ,700 , 980,,1300 ,1100 , 1500,,2000 ,1700 , 2300,,2900 ,2400 , 3400,,4100 ,3500 , 4800,,5600 ,4700 , 6600,,7200 ,6100 , 8500,,9000 ,7500 , 11 000,,11 000 ,9000 , 13 000,,12 000 ,10 000 , 14 000,,14 000 ,11 000 , 16 000,,15 000 ,12 000 , 17 000,,16 000 ,13 000 , 19 000,,17 000 ,14 000 , 20 000,,17 000 ,15 000 , 20 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 22 000,,18 000 ,16 000 , 22 000,,19 000 ,16 000 , 22 000,,18 000 ,16 000 , 22 000,,18 000 ,15 000 , 22 000,,18 000 ,15 000 , 22 000,,18 000 ,15 000 , 22 000,,18 000 ,15 000 , 22 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,
Romania,3100 ,2300 , 4500,,5500 ,4400 , 7100,,7800 ,6400 , 9300,,9600 ,8300 , 11 000,,11 000 ,9800 , 12 000,,12 000 ,10 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,12 000 , 13 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,14 000 ,12 000 , 15 000,,14 000 ,13 000 , 15 000,,14 000 ,13 000 , 15 000,,14 000 ,13 000 , 15 000,,14 000 ,13 000 , 15 000,,14 000 ,13 000 , 15 000,,15 000 ,13 000 , 16 000,,15 000 ,13 000 , 16 000,,15 000 ,14 000 , 16 000,,15 000 ,14 000 , 16 000,,15 000 ,14 000 , 17 000,,16 000 ,14 000 , 17 000,,16 000 ,14 000 , 18 000,,16 000 ,15 000 , 18 000,,17 000 ,15 000 , 18 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,18 000 ,16 000 , 20 000,,18 000 ,16 000 , 20 000,,18 000 ,16 000 , 20 000,
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Rwanda,100 000 ,74 000 , 170 000,,130 000 ,93 000 , 200 000,,150 000 ,110 000 , 220 000,,180 000 ,140 000 , 240 000,,120 000 ,95 000 , 150 000,,150 000 ,120 000 , 180 000,,190 000 ,160 000 , 230 000,,220 000 ,180 000 , 250 000,,230 000 ,200 000 , 260 000,,230 000 ,200 000 , 260 000,,240 000 ,210 000 , 260 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 250 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 260 000,,240 000 ,230 000 , 260 000,,240 000 ,230 000 , 260 000,,240 000 ,230 000 , 270 000,,240 000 ,230 000 , 270 000,,250 000 ,230 000 , 270 000,,250 000 ,230 000 , 270 000,,250 000 ,230 000 , 280 000,,250 000 ,230 000 , 280 000,,250 000 ,230 000 , 280 000,,250 000 ,230 000 , 280 000,,250 000 ,230 000 , 280 000,,250 000 ,230 000 , 280 000,,240 000 ,230 000 , 280 000,,240 000 ,230 000 , 280 000,,240 000 ,220 000 , 280 000,,240 000 ,220 000 , 280 000,,240 000 ,220 000 , 270 000,
Saint Kitts and Nevis,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
